noc_title,exposed_to_disease_infections,median_hourly_wage,physical_proximity,pop,occupation_type
"7372 Drillers and blasters - surface mining, quarrying and construction",0.015,27.76,0.475,315,Other
0601 Corporate sales managers,0.0325,40.87,0.4775,22700,Other
2171 Information systems analysts and consultants,0.045,38.94,0.4775,69015,Other
7371 Crane operators,0.0175,29,0.48,3835,Other
6732 Specialized cleaners,0.47,14,0.4825,9810,Sales & Service
"6733 Janitors, caretakers and building superintendents",0.47,18,0.4825,49385,Sales & Service
2154 Land surveyors,0.0925,32.51,0.4825,440,Other
"4165 Health policy researchers, consultants and program officers",0.41,39.01,0.4825,10985,Other
1253 Records management technicians,0.02,30,0.49,1250,Other
"6313 Accommodation, travel, tourism and related services supervisors",0.035,23.08,0.4925,680,Sales & Service
2146 Aerospace engineers,0,45,0.4975,2065,Other
7361 Railway and yard locomotive engineers,0.125,40,0.4975,740,Other
"9535 Plastic products assemblers, finishers and inspectors",0.0075,16,0.4975,5305,Other
0711 Construction managers,0.04,39.78,0.5,23755,Other
0712 Home building and renovation managers,0.04,20,0.5,19855,Other
5212 Technical occupations related to museums and art galleries,0,19.44,0.5,575,Other
1252 Health information management occupations,0.235,27,0.5025,1250,Other
2221 Biological technologists and technicians,0.39,25.08,0.505,1305,Other
1524 Purchasing and inventory control workers,0.1025,17.2,0.5075,8985,Other
9241 Power engineers and power systems operators,0.06,38.43,0.5075,4545,Other
6315 Cleaning supervisors,0.4675,24.77,0.51,2810,Sales & Service
1224 Property administrators,0.02,20.31,0.51,18055,Other
2133 Electrical and electronics engineers,0.025,40,0.5125,12975,Other
9434 Other wood processing machine operators,0.0075,18.25,0.5125,950,Other
9437 Woodworking machine operators,0.0075,17,0.5125,1640,Other
6411 Sales and account representatives - wholesale trade (non-technical),0.025,21.98,0.515,33640,Sales & Service
1241 Administrative assistants,0.185,22,0.515,43850,Other
2172 Database analysts and data administrators,0.0425,33.65,0.515,7575,Other
7231 Machinists and machining and tooling inspectors,0.04,23.5,0.515,11955,Other
9417 Machining tool operators,0.04,23,0.515,5270,Other
1414 Receptionists,0.305,17,0.5175,37360,Other
5111 Librarians,0.2875,28,0.52,20,Other
1523 Production logistics co-ordinators,0.0275,26.44,0.5225,6805,Other
2233 Industrial engineering and manufacturing technologists and technicians,0.0125,24,0.5225,6600,Other
"7202 Contractors and supervisors, electrical trades and telecommunications occupations",0.0325,32,0.5225,4155,Other
"0121 Insurance, real estate and financial brokerage managers",0.0375,50.48,0.525,13760,Other
"3223 Dental technologists, technicians and laboratory assistants",0.715,22,0.525,2020,Other
5242 Interior designers and interior decorators,0.0725,20,0.525,2860,Other
2151 Architects,0.0175,31.19,0.5275,755,Other
2251 Architectural technologists and technicians,0.02,24,0.5275,780,Other
5223 Graphic arts technicians,0.0075,19.71,0.5275,680,Other
"6741 Dry cleaning, laundry and related occupations",0.5475,16,0.53,6225,Sales & Service
1415 Personnel clerks,0.135,21.63,0.5325,3200,Other
